Have,Generation,Allegiance,Year,Country/Region,Type,Name,Description,Repainted,Remolded
,Armada,N,2003,Japan,Micron Partner,Thunderclash,Grey/Purple/Black Jet Fighter,No,No
,Armada,N,2002,USA,Minicon Adventure Team,Dune Runner,Tan/Grey/Green Dune Buggy,No,No
,Armada,N,2002,USA,Minicon Adventure Team,Iceberg,Orange/Black Snow Cat,No,No
,Armada,N,2002,USA,Minicon Adventure Team,Ransack,Dark Green Off-Road Pickup Truck,No,No
,Armada,N,2003,USA,Minicon Air Assault Team,Jetstorm,Blue/Purple/Grey Jet,Yes,No
,Armada,N,2003,USA,Minicon Air Assault Team,Runway,Red/Purple/Grey Jet,Yes,No
,Armada,N,2003,USA,Minicon Air Assault Team,Sonar,Blue/Purple/Black Jet,Yes,No
,Armada,N,2002,USA,Minicon Air Defense Team,Jetstorm,Blue/Black/Grey Jet,No,No
,Armada,N,2002,USA,Minicon Air Defense Team,Runway,Red/Black/Grey Jet,No,No
,Armada,N,2002,USA,Minicon Air Defense Team,Sonar,Blue/White/Black Jet,No,No
,Armada,N,2003,USA,Minicon Air Military Team,Gunbarrel,Red/Grey Cargo Plane,No,No
,Armada,N,2003,USA,Minicon Air Military Team,Terradive,Black/Grey/Silver Spy Plane,No,No
,Armada,N,2003,USA,Minicon Air Military Team,Thunderwing,Gold/Grey Stealth Bomber,No,No
,Armada,N,2002,USA,Minicon Destruction Team,Buzzsaw,Yellow/Olive/Black Wheeled Excavator,No,No
,Armada,N,2002,USA,Minicon Destruction Team,Drillbit,Red/Yellow/Grey Drill Truck,No,No
,Armada,N,2002,USA,Minicon Destruction Team,Dualor,Yellow/Grey Dual-Barrel Cannon,No,No
,Armada,N,2003,USA,Minicon Emergency Team,Firebot,Red Fire Truck,No,No
,Armada,N,2003,USA,Minicon Emergency Team,Firebot (Repaint),Blue Fire Truck,Yes,No
,Armada,N,2003,USA,Minicon Emergency Team,Makeshift,White/Blue V-22 Osprey,No,No
,Armada,N,2003,USA,Minicon Emergency Team,Makeshift (Repaint),Blue/Red V-22 Osprey,Yes,No
,Armada,N,2003,USA,Minicon Emergency Team,Prowl,Black/White Police Pursuit Car,No,No
,Armada,N,2003,USA,Minicon Emergency Team,Prowl (Repaint),Red/Blue Race Car,Yes,No
,Armada,N,2002,USA,Minicon Land Military Team,Bonecrusher,Yellow/Red/Black Missile Cannon Truck,No,No
,Armada,N,2002,USA,Minicon Land Military Team,Knockout,Black/Red/Grey Missile Carrier,No,No
,Armada,N,2002,USA,Minicon Land Military Team,Wreckage,Green/Grey Dual Missile Carrier,No,No
,Armada,N,2003,USA,Minicon Night Attack Team,Broadside,Black/Blue/White Missile Carrier,Yes,No
,Armada,N,2003,USA,Minicon Night Attack Team,Fetch,Black/Blue/White Dual Missile Carrier,Yes,No
,Armada,N,2003,USA,Minicon Night Attack Team,Scattor,White/Grey/Black Missile Cannon Truck,Yes,No
,Armada,A,2004,USA,Minicon Partner,Ape-Linq,Red/White Tractor Cab,Yes,Yes
,Armada,N,2003,USA,Minicon Partner,Armorhide,Grey/Blue Snow Cat,Yes,No
,Armada,N,2002,USA,Minicon Partner,Blackout,Red/Orange/Cream Car,No,No
,Armada,N,2003,USA,Minicon Partner,Blackout (Powerlinx),Red/Grey/Blue Car,Yes,No
,Armada,D,2004,USA,Minicon Partner,Caliburn,Blue/Grey/Black Artilery Truck,Yes,No
,Armada,N,2003,USA,Minicon Partner,Clench,White/Purple Artilery Truck,Yes,No
,Armada,N,2003,USA,Minicon Partner,Cliffjumper,Purple/Black Winch Jeep,Yes,No
,Armada,N,2002,USA,Minicon Partner,Comettor,Dark Blue Moon Buggy,No,No
,Armada,N,2003,USA,Minicon Partner,Comettor (Powerlinx),Red/White Moon Buggy,Yes,No
,Armada,N,2003,USA,Minicon Partner,Corona Sparkplug,Gold Sports Car,Yes,No
,Armada,N,2002,USA,Minicon Partner,Crosswise,Grey/Orange Head - Gray/Red Head,No,No
,Armada,N,2002,USA,Minicon Partner,Crumplezone,White/Blue/Tan/Aqua Car,No,No
,Armada,N,2003,USA,Minicon Partner,Crumplezone (Powerlinx),Green/Grey/Brown/Black Car,Yes,No
,Armada,N,2003,USA,Minicon Partner,Dead End,Dark Grey/Yellow/Silver Battle Moon,No,No
,Armada,N,2002,USA,Minicon Partner,Incinerator,Grey/Blue Indy Racer,No,No
,Armada,N,2003,USA,Minicon Partner,Inferno,Brown/Black/Purple Missile Truck,No,No
,Armada,N,2003,USA,Minicon Partner,Inferno (Powerlinx),Inferno (Minicon) - Green Missile Truck,Yes,No
,Armada,N,2003,USA,Minicon Partner,Ironhide,Black/Brown Dune Buggy,Yes,No
,Armada,N,2002,USA,Minicon Partner,Jolt,Red/Grey Helicopter,No,No
,Armada,N,2003,USA,Minicon Partner,Jolt (Powerlinx),Yellow Helicopter,Yes,No
,Armada,N,2002,USA,Minicon Partner,Leader-1,Grey/Yellow/Black Artillery Truck,No,No
,Armada,N,2002,USA,Minicon Partner,Liftor,Gray/Blue Forklift,No,No
,Armada,N,2002,USA,Minicon Partner,Longarm,Black/Yellow Crane,No,No
,Armada,N,2003,USA,Minicon Partner,Longarm (Powerlinx),Black/Orange Crane,Yes,No
,Armada,N,2003,USA,Minicon Partner,Nightbeat,Grey Motorcycle,No,No
,Armada,N,2003,USA,Minicon Partner,Nightscream,Purple/Grey Sports Car,Yes,No
,Armada,N,2002,USA,Minicon Partner,Over-Run,Silver/Blue/Black Jet,No,No
,Armada,N,2003,USA,Minicon Partner,Ramjet,Purple/Red Jet,No,No
,Armada,N,2003,USA,Minicon Partner,Refute,Orange/Blue Claw Grabber,No,No
,Armada,N,2002,USA,Minicon Partner,Rollbar,White/Black/Grey Dune Buggy,No,No
,Armada,N,2003,USA,Minicon Partner,Rollout,Red Tractor Cab,No,No
,Armada,N,2002,USA,Minicon Partner,Rook,Grey/Orange Head - Gray/Red Head,No,No
,Armada,N,2003,USA,Minicon Partner,Run-Over,Tan/Red/Black Jet,Yes,No
,Armada,N,2003,USA,Minicon Partner,Sideburn,Brown Sports Car,Yes,No
,Armada,N,2003,USA,Minicon Partner,Skid-Z,Black/Red Sports Car,Yes,No
,Armada,N,2002,USA,Minicon Partner,Sparkplug,Yellow Sports Car,No,No
,Armada,N,2002,USA,Minicon Partner,Swindle,Red/Black Indy Racer,Yes,Yes
,Armada,N,2003,USA,Minicon Partner,Thunderclash,Grey/Purple/Black Jet Fighter,No,No
,Armada,N,2003,USA,Minicon Partner,Windsheer,Yellow/Black F-117 Stealth Fighter,No,No
,Armada,N,2003,USA,Minicon Partner,Zapmaster,Grey/Blue/Black Indy Racer,Yes,No
,Armada,N,2002,USA,Minicon Race Team,Dirt Boss,Yellow/Blue Car,No,No
,Armada,N,2002,USA,Minicon Race Team,Downshift,Yellow/Grey/Blue Car,No,No
,Armada,N,2002,USA,Minicon Race Team,Mirage,Yellow/Black Indy Racer,Yes,No
,Armada,N,2003,USA,Minicon Road Assault Team,Dirt Boss,Black/Red Car,Yes,No
,Armada,N,2003,USA,Minicon Road Assault Team,Downshift,White/Red Prototype Racing Car,Yes,No
,Armada,N,2003,USA,Minicon Road Assault Team,Mirage,White/Red Indy Racer,Yes,No
,Armada,N,2003,USA,Minicon Road Wrecker Team,Buzzsaw,Yellow/Green/Black Wheeled Excavator,Yes,No
,Armada,N,2003,USA,Minicon Road Wrecker Team,Drillbit,Orange/Yellow Drill Truck,Yes,No
,Armada,N,2003,USA,Minicon Road Wrecker Team,Dualor,Blue/Black/Yellow Dual-Barrel Cannon,Yes,No
,Armada,N,2003,USA,Minicon Sea Team,Oceanglide,Brown/Grey/Blue Carrier,No,No
,Armada,N,2003,USA,Minicon Sea Team,Oceanglide (Repaint),,Yes,No
,Armada,N,2003,USA,Minicon Sea Team,Stormcloud,Brown/Grey/Blue Ship,No,No
,Armada,N,2003,USA,Minicon Sea Team,Stormcloud (Repaint),,Yes,No
,Armada,N,2003,USA,Minicon Sea Team,Waterlog,Brown/Grey/Blue Hovercraft,No,No
,Armada,N,2003,USA,Minicon Sea Team,Waterlog (Repaint),,Yes,No
,Armada,N,2002,USA,Minicon Space Team,Astroscope,Blue/Grey/Red Space Station,No,No
,Armada,N,2002,USA,Minicon Space Team,Payload,Black/Red/Blue Rocket Carrier Truck,No,No
,Armada,N,2002,USA,Minicon Space Team,Sky Blast,Red/White/Blue Rocket Shuttle,No,No
,Armada,N,2002,USA,Minicon Street Action Team,Grindor,Blue/Grey Skateboard,No,No
,Armada,N,2002,USA,Minicon Street Action Team,Highwire,Blue/Black/Grey Bicycle,No,No
,Armada,N,2002,USA,Minicon Street Action Team,Sureshock,Red/Grey Scooter,No,No
,Armada,N,2002,USA,Minicon Street Speed Team,Backtrack,Green/White Sports Car,No,No
,Armada,N,2002,USA,Minicon Street Speed Team,Oval,Yellow/Black Sports Car,No,No
,Armada,N,2002,USA,Minicon Street Speed Team,Spiral,Blue/White Sports Car,No,No
,Armada,D,2003,USA,Roleplay,Dark Saber,,Yes,No
,Armada,A,2002,USA,Roleplay,Laserbeak,Red/Grey/Blue/Orange Video Recorder/Laser Gun/Bird,No,No
,Armada,A,2003,USA,Roleplay,Star Saber,,No,No
,Armada,C,2003,Japan,Supercon,Airazor,Purple/Grey/Red Falcon,Yes,Yes
,Armada,A,2003,USA,Supercon,Airazor,Purple/Grey/Red Falcon,Yes,Yes
,Armada,A,2002,USA,Supercon,Blurr,Grey/Blue/Orange Sports Car,No,No
,Armada,C,2003,Japan,Supercon,Cheetor,Purple/Black Cheetah,Yes,Yes
,Armada,A,2003,USA,Supercon,Cheetor,Purple/Black Cheetah,Yes,Yes
,Armada,D,2002,USA,Supercon,Cyclonus,Aqua/Blue/Purple/Tan/White Helicopter,No,No
,Armada,D,2003,Japan,Supercon,Cyclonus (Powerlinx),Green/Grey/Brown/Black Helicopter,Yes,No
,Armada,D,2003,USA,Supercon,Cyclonus (Powerlinx),Green/Grey/Brown/Black Helicopter,Yes,No
,Armada,D,2002,USA,Supercon,Demolishor,Red/Cream/Grey Missile Tank,No,No
,Armada,D,2003,USA,Supercon,Demolishor (Powerlimx),Red/Grey/Blue Missile Tank,Yes,No
,Armada,A,2003,USA,Supercon,Hoist,White/Brown/Orange Backhoe,No,No
,Armada,A,2002,USA,Supercon,Hotshot,Yellow/Red/Grey Sports Car,No,No
,Armada,A,2003,USA,Supercon,Hotshot (Powerlinx),Yellow/Red Sports Car,Yes,No
,Armada,D,2003,USA,Supercon,Nemesis Prime,Dark Blue/Red/Tan Tractor Cab,Yes,No
,Armada,A,2002,USA,Supercon,Optimus Prime,Red/Blue Tractor Cab,No,No
,Armada,C,2003,Japan,Supercon,Rhinox,Brown/Blue/Black Rhinocerous,Yes,Yes
,Armada,A,2003,USA,Supercon,Rhinox,Brown/Blue/Black Rhinocerous,Yes,Yes
,Armada,A,2003,USA,Supercon,Sideswipe,Blue/Grey Nissan Skyline R32 Sedan,No,No
,Armada,A,2002,USA,Supercon,Sideways,Purple/Black Motorcycle,No,No
,Armada,A,2002,USA,Supercon,Smokescreen,Orange/Black/Silver/Blue Crane,No,No
,Armada,D,2003,Japan,Supercon,Terrorsaur,Green/Olive/Orange Pterradon,Yes,Yes
,Armada,D,2003,USA,Supercon,Terrorsaur,Green/Olive/Orange Pterradon,Yes,Yes
,Armada,D,2003,USA,Supercon,Thrust,Brown/Black/Purple F-35 Joint Strike Fighter,No,No
,Armada,D,2003,Japan,Supercon,Thrust (Powerlinx),Grey/Tan/Green F-35 Joint Strike Fighter,Yes,No
,Armada,D,2003,USA,Supercon,Thrust (Powerlinx),Grey/Tan/Green F-35 Joint Strike Fighter,Yes,No
,Armada,D,2003,Japan,Supercon,Thrust (Powerlinx) (Red),,Yes,No
,Armada,D,2003,USA,Supercon,Wheeljack,Yellow/Black/White Race Car,No,No
,Attacktix,D,2006,USA,Basic,Battle Ravage,,-,-
,Attacktix,D,2006,USA,Basic,Battle Ravage (Silver Base),,-,-
,Attacktix,D,2006,USA,Basic,Crumplezone,,-,-
,Attacktix,D,2006,USA,Basic,Decepticlone,,-,-
,Attacktix,D,2006,USA,Basic,Decepticlone (Repaint),,-,-
,Attacktix,D,2006,USA,Basic,Decepticlone (Silver Base),,-,-
,Attacktix,D,2006,USA,Basic,Dirtboss,,-,-
,Attacktix,A,2006,USA,Basic,Excellion,,-,-
,Attacktix,A,2006,USA,Basic,Excellion (Silver Base),,-,-
,Attacktix,A,2006,USA,Basic,Hot Shot,,-,-
,Attacktix,A,2006,USA,Basic,Hot Shot (Silver Base),,-,-
,Attacktix,D,2006,USA,Basic,Insecticon,,-,-
,Attacktix,D,2006,USA,Basic,Insecticon (Silver Base),,-,-
,Attacktix,A,2006,USA,Basic,Landmine,,-,-
,Attacktix,A,2006,USA,Basic,Landmine (Silver Base),,-,-
,Attacktix,D,2006,USA,Basic,Megatron,,-,-
,Attacktix,D,2006,USA,Basic,Megatron (Robot),,-,-
,Attacktix,D,2006,USA,Basic,Megatron (Robot) (Silver Base),,-,-
,Attacktix,D,2006,USA,Basic,Megatron (Vehicle),,-,-
,Attacktix,D,2006,USA,Basic,Megatron (Vehicle) (Silver Base),,-,-
,Attacktix,A,2006,USA,Basic,Mini-Con,,-,-
,Attacktix,A,2006,USA,Basic,Mini-Con (Silver Base),,-,-
,Attacktix,A,2006,USA,Basic,Omnicon,,-,-
,Attacktix,A,2006,USA,Basic,Omnicon (Silver Base),,-,-
,Attacktix,A,2006,USA,Basic,Optimus Prime,,-,-
,Attacktix,A,2006,USA,Basic,Overhaul,,-,-
,Attacktix,D,2006,USA,Basic,Ransack,,-,-
,Attacktix,D,2006,USA,Basic,Ransack (Silver Base),,-,-
,Attacktix,A,2006,USA,Basic,Rodimus,,-,-
,Attacktix,A,2006,USA,Basic,Rodimus (Silver Base),,-,-
,Attacktix,D,2006,USA,Basic,Scorponok,,-,-
,Attacktix,D,2006,USA,Basic,Scorponok (Silver Base),,-,-
,Attacktix,D,2006,USA,Basic,Scourge,,-,-
,Attacktix,D,2006,USA,Basic,Scourge (Silver Base),,-,-
,Attacktix,A,2006,USA,Basic,Skyblast (Robot),,-,-
,Attacktix,A,2006,USA,Basic,Skyblast (Vehicle),,-,-
,Attacktix,D,2006,USA,Basic,Starscream,,-,-
,Attacktix,D,2006,USA,Basic,Starscream (Silver Base),,-,-
,Attacktix,A,2006,USA,Basic,Super Optimus Prime (Robot),,-,-
,Attacktix,A,2006,USA,Basic,Super Optimus Prime (Robot) (Silver Base),,-,-
,Attacktix,A,2006,USA,Basic,Super Optimus Prime (Vehicle),,-,-
,Attacktix,A,2006,USA,Basic,Super Optimus Prime (Vehicle) (Silver Base),,-,-
,Attacktix,A,2006,USA,Basic,Vector Prime,,-,-
,Attacktix,A,2006,USA,Basic,Vector Prime (Silver Base),,-,-
,Attacktix,A,2006,USA,Battlemaster,Omega Sentinel,,-,-
,Attacktix,A,2006,USA,Battlemaster,Omega Supreme,,-,-
,Beast Machines,M,2001,USA,Basic,Battle Unicorn,Silver/Red/Black Unicorn,No,No
,Beast Machines,M,2000,USA,Basic,Buzzsaw,Orange/Green/Yellow Hornet,No,No
,Beast Machines,M,2000,USA,Basic,Geckobot,Orange/Yellow/Purple/Blue Winged Lizard,No,No
,Beast Machines,M,2001,USA,Basic,Hammerstrike,Tan/Blue/Orange/Red Hammerhead Shark,No,No
,Beast Machines,M,2000,USA,Basic,Longhorn,Gold/Maroon/Translucent Green Bull,No,No
,Beast Machines,V,2000,USA,Basic,Mirge,Blue/Grey/Yellow Indy Racer,No,No
,Beast Machines,V,2001,USA,Basic,Morotcycle Drone,Red/Translucent Yellow/Grey Motorcycle,No,No
,Beast Machines,M,2000,USA,Basic,Nightviper,Grey/Black/Red/Translucent Yellow Cobra,No,No
,Beast Machines,V,2000,USA,Basic,Obsidian,Green/Blue/Dark Grey/Orange Ospry VTOL Helicopter/Airplane,No,No
,Beast Machines,M,2000,USA,Basic,Quickstrike,Grey/Translucent Blue/Silver Wolf,No,No
,Beast Machines,V,2000,USA,Basic,Scavenger,Orange/Olive/Black Construction Crane,No,No
,Beast Machines,M,2000,USA,Basic,Silverbolt,Red/Yellow/Orange/Silver Condor,No,No
,Beast Machines,V,2001,USA,Basic,Spy Streak,Dark Green/Bronze/Translucent Yellow SR-71 Blackbird,No,No
,Beast Machines,V,2001,USA,Basic,Tank Drone,Red/Silver/Black Tank,No,No
,Beast Machines,M,2000,USA,Basic Deployers,Dillo,Blue/Black/Yellow/Purple Armadillo,No,No
,Beast Machines,M,2000,USA,Basic Deployers,Dillo (Repaint),Transparent Red/Blue Armadillo,Yes,No
,Beast Machines,M,2000,USA,Basic Deployers,Mol,Yellow/Black/Red Mole,No,No
,Beast Machines,M,2000,USA,Basic Deployers,Mol (Repaint),Transparent Blue/Green Mole,Yes,No
,Beast Machines,M,2000,USA,Basic Deployers,Rav,Red/Dark Tan/Black Raven,No,No
,Beast Machines,M,2000,USA,Basic Deployers,Rav (Repaint),Transparent Blue/Silver Raven,Yes,No
,Beast Machines,P,2000,USA,Combiner Magmatron,Airsaurus,Red/Orange/Yellow Queztalcoatlus,No,No
,Beast Machines,P,2000,USA,Combiner Magmatron,Landsaurus,Blue/Silver Gigantosaurus,No,No
,Beast Machines,P,2000,USA,Combiner Magmatron,Seasaurus,Aqua/Silver Elasmosaur,No,No
,Beast Machines,M,2001,USA,Deluxe,Beast Changer,Red/Blue Dragon/Wolfman,No,No
,Beast Machines,M,2000,USA,Deluxe,Blackarachnia,Purple/Copper/Green/Black Spider,No,No
,Beast Machines,V,2000,USA,Deluxe,Blastcharge,Gold/Brown/Grey Missile Tank,No,No
,Beast Machines,M,2002,USA,Deluxe,Catscan,White/Red Cheetah,Yes,No
,Beast Machines,V,2000,USA,Deluxe,Jetstorm,Blue/Grey/Yellow Futuristic Jet,No,No
,Beast Machines,M,2001,USA,Deluxe,Night Slash Cheetor,Dark Blue/Orange/Yellow Cheetah,No,No
,Beast Machines,M,2000,USA,Deluxe,Optimus Primal,Blue/Grey/Green Gorilla,No,No
,Beast Machines,M,2000,USA,Deluxe,Skydive,Copper/Red/Grey/Silver Pterodactyl,No,No
,Beast Machines,M,2000,USA,Deluxe,Snarl,Orange/Grey/Blue Lion,No,No
,Beast Machines,V,2000,USA,Deluxe,Sonic Attack Jet,Olive/Blue/Silver/Red Futuristic Jet,Yes,No
,Beast Machines,V,2001,USA,Deluxe,Strika,Blue/Gold/Grey/Black All-Terrain Assault Vehicle,No,No
,Beast Machines,V,2000,USA,Deluxe,Thrust,Yellow/Violet/Green Motorcycle,No,No
,Beast Machines,M,2000,USA,Deluxe Beast Riders,Che,Yellow/Orange/Green Cheetah Head/Battle Platform,No,No
,Beast Machines,M,2000,USA,Deluxe Beast Riders,Che (Repaint),Black/Silver/Gold Cheetah Head/Battle Platform,Yes,No
,Beast Machines,V,2000,USA,Deluxe Beast Riders,Mechatron,Red/Blue/Black Dragon Head,No,No
,Beast Machines,V,2000,USA,Deluxe Beast Riders,Mechatron (Repaint),Transparent Purple/Yellow/Black Dragon Head,Yes,No
,Beast Machines,M,2000,USA,Deluxe Dinobot,Airraptor,Green/Blue/Orange Archaeopteryx,Yes,No
,Beast Machines,M,2000,USA,Deluxe Dinobot,Dinotron,Green/Olive/Yellow Pachycephalosaur,Yes,No
,Beast Machines,M,2001,USA,Deluxe Dinobot,Rapticon,Blue/Silver/Green Raptor,Yes,No
,Beast Machines,M,2000,USA,Deluxe Dinobot,Striker,Bronze/Orange/Turquoise Stegosaurus,Yes,No
,Beast Machines,M,2001,USA,Deluxe Dinobot,Terranotron,Red/Yellow/Grey Terradon,Yes,No
,Beast Machines,M,2000,USA,Deluxe Dinobot,Triceradon,Tan/Brown/Grey Triceratops,Yes,No
,Beast Machines,M,2000,USA,McDonald's,Blackarachnia,Red/Yellow Spider,No,No
,Beast Machines,M,2000,USA,McDonald's,Cheetor,Green/Yellow Cheetah,No,No
,Beast Machines,M,2000,USA,McDonald's,Jetstorm,Blue/Black Jet,No,No
,Beast Machines,M,2000,USA,McDonald's,Megatron,Red/Purple/Black Dragon,No,No
,Beast Machines,M,2000,USA,McDonald's,Nightscream,Blue/Black Bat,No,No
,Beast Machines,M,2000,USA,McDonald's,Optimus Primal,Yellow/Brown/Red/White Gorilla,No,No
,Beast Machines,M,2000,USA,McDonald's,Rattrap,Green/White Rat,No,No
,Beast Machines,M,2000,USA,McDonald's,Tankor,Black/White/Silver/Yellow Tank,No,No
,Beast Machines,M,2000,USA,McDonald's,Thrust,Red/Yellow/Blue Motorcycle,No,No
,Beast Machines,M,2001,USA,Mega,Blast Punch Optimus Primal,Dark Grey/Orange/Blue Gorilla,No,No
,Beast Machines,M,2000,USA,Mega,Cheetor,Yellow/Blue/Green Cheetah,No,No
,Beast Machines,V,2000,USA,Mega,Megatron,Red/Black/Yellow/White Dragon,No,No
,Beast Machines,M,2001,USA,Mega,Rattrap,Silver/Green/Red/Orange Rat,No,No
,Beast Machines,V,2000,USA,Mega,Tankor,Orange/Grey/Black Tank,No,No
